iter	Logloss
0	0.5566992138
1	0.460698406
2	0.3989048093
3	0.3573579386
4	0.3285672602
5	0.3080422672
6	0.2932467446
7	0.2818729922
8	0.274706986
9	0.2690923448
10	0.2643322531
11	0.2610591727
12	0.2585757239
13	0.2568578199
14	0.2555885238
15	0.2541130424
16	0.2530828077
17	0.2522069439
18	0.2513267629
19	0.2507565188
20	0.250158915
21	0.2498120224
22	0.2494746181
23	0.2490346664
24	0.248706298
25	0.2484598985
26	0.2481916526
27	0.2480023028
28	0.2478412211
29	0.2475723142
30	0.2473053984
31	0.2471541655
32	0.2469765835
33	0.2467516936
34	0.2465974992
35	0.2463246026
36	0.2460734242
37	0.2459380639
38	0.2457712356
39	0.2456094269
40	0.2454142523
41	0.2452318945
42	0.245111574
43	0.2449906136
44	0.2448146926
45	0.24463219
46	0.2445137333
47	0.2444215121
48	0.2443193209
49	0.2442113689
50	0.2440475131
51	0.2438730239
52	0.2437147754
53	0.2435941322
54	0.2434300276
55	0.2433111523
56	0.2432139902
57	0.2430991178
58	0.2429984348
59	0.2428326331
60	0.2427729643
61	0.2427490881
62	0.2426452425
63	0.2425374745
64	0.2424303204
65	0.242352803
66	0.2422865846
67	0.2421863831
68	0.2420939908
69	0.2420276885
70	0.242008786
71	0.2419242672
72	0.2418650518
73	0.2417184086
74	0.2416210055
75	0.2415540734
76	0.2414470316
77	0.2413376002
78	0.2413288797
79	0.2412279236
80	0.2411085813
81	0.2409788114
82	0.2408801737
83	0.2408062148
84	0.2406818921
85	0.2406063062
86	0.2404510202
87	0.2403540012
88	0.2402700824
89	0.2401571194
90	0.2400888972
91	0.2399684972
92	0.239964696
93	0.23986106
94	0.2397988565
95	0.2397425135
96	0.2396702119
97	0.2396103289
98	0.2395636635
99	0.2394805477
100	0.2394053063
101	0.2393031699
102	0.2393005353
103	0.2392559075
104	0.2391685945
105	0.2391016623
106	0.2390956235
107	0.2390224545
108	0.2388937325
109	0.2387777827
110	0.2386709702
111	0.2386629778
112	0.2386257598
113	0.2385361662
114	0.2384410218
115	0.238401207
116	0.2383360914
117	0.2382461067
118	0.2381910155
119	0.2380939979
120	0.2379939559
121	0.2379012021
122	0.2378262668
123	0.2376964161
124	0.2376194063
125	0.2375038153
126	0.2374739364
127	0.2373789422
128	0.2373087372
129	0.2372511964
130	0.2372193696
131	0.2371790585
132	0.2371556205
133	0.2370830337
134	0.237017975
135	0.2369144168
136	0.236839273
137	0.2368173318
138	0.2367370103
139	0.2366877241
140	0.2366168731
141	0.2365361798
142	0.2364490999
143	0.2364257272
144	0.2363514143
145	0.2363194338
146	0.2362532619
147	0.2361430397
148	0.2360174201
149	0.2359365455
150	0.235934689
151	0.2358683616
152	0.2357953959
153	0.2356757471
154	0.2356213905
155	0.2355374956
