iter	Passed	Remaining
0	160	70500
1	338	74379
2	573	83661
3	764	83576
4	962	83951
5	1242	90096
6	1510	93622
7	1665	90157
8	1831	87900
9	1994	85948
10	2179	85207
11	2364	84546
12	2587	85194
13	2828	86266
14	3038	86296
15	3265	86733
16	3475	86688
17	3650	85786
18	3851	85532
19	4101	86332
20	4337	86745
21	4632	88229
22	4892	88924
23	5115	88886
24	5326	88641
25	5584	89136
26	5797	88891
27	6033	88989
28	6229	88500
29	6464	88567
30	6651	87966
31	6909	88308
32	7130	88158
33	7375	88285
34	7551	87598
35	7757	87273
36	7954	86850
37	8152	86462
38	8397	86562
39	8675	86974
40	8898	86813
41	9231	87695
42	9477	87725
43	9752	87995
44	9988	87899
45	10209	87670
46	10597	88834
47	10860	88922
48	11121	88973
49	11455	89584
50	11793	90184
51	12068	90280
52	12331	90277
53	12588	90215
54	12911	90616
55	13201	90757
56	13480	90814
57	13730	90669
58	13961	90393
59	14180	90044
60	14373	89541
61	14633	89451
62	14900	89405
63	15133	89148
64	15330	88681
65	15527	88226
66	15757	87958
67	15962	87556
68	16177	87215
69	16413	86991
70	16666	86852
71	16842	86318
72	17055	85976
73	17266	85631
74	17444	85128
75	17647	84755
76	17863	84447
77	18153	84482
78	18367	84162
79	18536	83644
80	18752	83345
81	19114	83684
82	19436	83833
83	19671	83603
84	19936	83497
85	20186	83329
86	20467	83281
87	20638	82789
88	20845	82446
89	21017	81969
90	21401	82312
91	21634	82071
92	21913	81998
93	22117	81645
94	22347	81390
95	22586	81171
96	22946	81379
97	23169	81092
98	23470	81079
99	23693	80795
100	24052	80969
101	24256	80617
102	24427	80161
103	24632	79819
104	24867	79577
105	25018	79068
106	25195	78648
107	25417	78370
108	25602	77981
109	25791	77608
110	25983	77247
111	26139	76785
112	26336	76446
113	26552	76163
114	26742	75810
115	26942	75486
116	27135	75144
117	27303	74737
118	27521	74471
119	27662	73997
120	27823	73582
121	28068	73392
122	28328	73239
123	28524	72922
124	28693	72535
125	28898	72247
126	29077	71892
127	29256	71540
128	29425	71169
129	29657	70949
130	29840	70615
131	30026	70290
132	30190	69914
133	30354	69544
134	30530	69203
135	30706	68863
136	30901	68570
137	31061	68200
138	31206	67800
139	31374	67455
140	31554	67136
141	31718	66787
142	31910	66498
143	32097	66201
144	32232	65799
145	32399	65464
146	32585	65171
147	32760	64856
148	32897	64470
149	33074	64163
150	33243	63845
151	33402	63509
152	33615	63276
153	33764	62924
154	33957	62657
155	34173	62433
156	34406	62238
157	34548	61881
158	34695	61536
159	34875	61249
160	35012	60891
161	35194	60612
162	35365	60315
163	35588	60109
164	35806	59893
165	36009	59653
166	36183	59366
167	36378	59115
168	36579	58873
169	36797	58659
170	36972	58378
171	37125	58062
172	37283	57756
173	37458	57479
174	37655	57236
175	37853	56996
176	38042	56740
177	38221	56473
178	38444	56271
179	38634	56019
180	38833	55783
181	38956	55437
182	39124	55158
183	39352	54964
184	39534	54706
185	39773	54528
186	39958	54275
187	40138	54016
188	40303	53737
189	40587	53617
190	40756	53345
191	40945	53101
192	41168	52900
193	41344	52639
194	41512	52369
195	41675	52094
196	41889	51884
197	42084	51648
198	42240	51367
199	42524	51241
200	42708	50994
201	42874	50728
202	43050	50472
203	43311	50317
204	43492	50069
205	43682	49832
206	43811	49525
207	43991	49279
208	44166	49026
209	44407	48848
210	44584	48599
211	44738	48326
212	44915	48078
213	45040	47776
214	45191	47503
215	45342	47231
216	45467	46934
217	45642	46688
218	45868	46496
219	46055	46264
220	46248	46039
221	46455	45827
222	46579	45535
223	46742	45281
224	46921	45044
225	47092	44800
226	47311	44601
227	47497	44372
228	47629	44094
229	47810	43861
230	47981	43619
231	48176	43400
232	48360	43171
233	48564	42960
234	48737	42723
235	48897	42474
236	49037	42209
237	49213	41976
238	49383	41738
239	49527	41479
240	49694	41240
241	49878	41015
242	50020	40757
243	50247	40568
244	50405	40324
245	50582	40096
246	50739	39852
247	50962	39660
248	51128	39424
249	51306	39197
250	51458	38952
251	51650	38737
252	51807	38497
253	51994	38279
254	52129	38023
255	52307	37800
256	52478	37572
257	52642	37339
258	52857	37143
259	53071	36946
260	53259	36730
261	53429	36503
262	53624	36293
263	53861	36111
264	54029	35883
265	54199	35657
266	54403	35454
267	54587	35237
268	54725	34992
269	54945	34798
270	55155	34599
271	55327	34376
272	55472	34136
273	55630	33906
274	55776	33668
275	55949	33448
276	56136	33235
277	56358	33045
278	56522	32819
279	56772	32644
280	56970	32438
281	57171	32234
282	57385	32038
283	57534	31805
284	57734	31602
285	57956	31410
286	58215	31237
287	58379	31014
288	58541	30789
289	58873	30654
290	59134	30481
291	59303	30261
292	59494	30051
293	59664	29832
294	59834	29613
295	60011	29397
296	60207	29191
297	60408	28987
298	60542	28752
299	60711	28534
300	60855	28305
301	61043	28096
302	61180	27864
303	61380	27661
304	61538	27439
305	61680	27211
306	61838	26991
307	62029	26785
308	62225	26581
309	62361	26352
310	62486	26119
311	62648	25902
312	62812	25686
313	62944	25458
314	63099	25239
315	63278	25031
316	63476	24830
317	63633	24613
318	63825	24409
319	63995	24198
320	64264	24024
321	64427	23810
322	64641	23615
323	64820	23407
324	65065	23223
325	65334	23047
326	65510	22838
327	65723	22642
328	65889	22430
329	66109	22236
330	66361	22053
331	66533	21843
332	66695	21630
333	66882	21426
334	67057	21218
335	67210	21003
336	67390	20797
337	67568	20590
338	67736	20380
339	67916	20175
340	68090	19967
341	68264	19760
342	68435	19553
343	68608	19345
344	68764	19134
345	68924	18924
346	69090	18716
347	69292	18517
348	69415	18298
349	69550	18083
350	69794	17895
351	69927	17680
352	70067	17467
353	70235	17261
354	70389	17051
355	70543	16843
356	70747	16646
357	70914	16440
358	71092	16238
359	71233	16027
360	71386	15819
361	71568	15618
362	71752	15417
363	71937	15217
364	72090	15010
365	72294	14814
366	72464	14611
367	72658	14413
368	72870	14218
369	73093	14026
370	73260	13822
371	73411	13616
372	73641	13425
373	73838	13227
374	74004	13024
375	74167	12821
376	74357	12622
377	74502	12417
378	74684	12217
379	74847	12014
380	75029	11815
381	75188	11612
382	75329	11407
383	75525	11210
384	75702	11011
385	75900	10814
386	76089	10617
387	76244	10414
388	76447	10219
389	76599	10016
390	76731	9812
391	76890	9611
