iter	Logloss
0	0.5552212828
1	0.4610623499
2	0.400540361
3	0.3584221988
4	0.3296085326
5	0.3089603206
6	0.292905699
7	0.2823053866
8	0.2743594327
9	0.2686796932
10	0.2644080058
11	0.2612710399
12	0.2586353236
13	0.2567484927
14	0.2553399249
15	0.2542024967
16	0.2530374566
17	0.2523880911
18	0.2518502269
19	0.2513082008
20	0.2507811345
21	0.2503088344
22	0.2499630497
23	0.2495695997
24	0.249220528
25	0.2488592467
26	0.2485879883
27	0.2483499674
28	0.248170569
29	0.2479010531
30	0.2476669488
31	0.2474499894
32	0.2472722015
33	0.2471043019
34	0.2468993282
35	0.2467124968
36	0.2465184082
37	0.2464552701
38	0.2463010609
39	0.246189674
40	0.2460094208
41	0.2458447649
42	0.2457382566
43	0.2455984298
44	0.2454675668
45	0.2453684165
46	0.2451797616
47	0.2450216746
48	0.2448543835
49	0.2446565101
50	0.2446395582
51	0.2445055408
52	0.2443466177
53	0.2443371555
54	0.2442761792
55	0.2441786134
56	0.2440698189
57	0.2439364717
58	0.24392421
59	0.2438623717
60	0.2437783231
61	0.243673424
62	0.2435916857
63	0.2434739024
64	0.24339262
65	0.2433494629
66	0.2432973271
67	0.2431971816
68	0.2431032709
69	0.2429870033
70	0.2428425929
71	0.2427448977
72	0.2426657458
73	0.242585589
74	0.2425139149
75	0.2424259584
76	0.2423958376
77	0.242306748
78	0.2422042628
79	0.242080084
80	0.2420070194
81	0.2418818236
82	0.2417582911
83	0.2416580296
84	0.2415272353
85	0.241448344
86	0.2413328165
87	0.2412232921
88	0.2411018587
89	0.2410590181
90	0.2409749437
91	0.2408254726
92	0.2407327123
93	0.2406391076
94	0.2405359344
95	0.2404330174
96	0.2403144955
97	0.2402114512
98	0.2402033093
99	0.2401907341
100	0.2400924944
101	0.2400308047
102	0.2400231366
103	0.239912934
104	0.2398196835
105	0.2397300271
106	0.2396516903
107	0.2395308874
108	0.2394520951
109	0.239448887
110	0.239390036
111	0.2393160755
112	0.2392007714
113	0.2391226139
114	0.239031974
115	0.2389801112
116	0.238896231
117	0.2388936934
118	0.2388019009
119	0.2387362455
120	0.2386824249
121	0.2385696929
122	0.2385286364
123	0.238435031
124	0.2383617359
125	0.2382604319
126	0.2382002026
127	0.2381958997
128	0.2380898571
129	0.2380338117
130	0.2379512287
131	0.2378991341
132	0.2378302311
133	0.2377383515
134	0.2376667882
135	0.2375648382
136	0.2375036016
137	0.2374195585
138	0.237355836
139	0.2373232788
140	0.2372081531
141	0.237145606
142	0.2371423854
143	0.2371271509
144	0.2370277441
145	0.2369514384
146	0.2368433662
147	0.2367184067
148	0.2367042115
149	0.2366199485
150	0.2366117234
151	0.2365132129
152	0.2364230314
153	0.2363390157
154	0.2362633812
155	0.2361852109
156	0.2361390995
157	0.2360188438
158	0.2359256812
159	0.235883072
160	0.2358356743
161	0.235725282
162	0.2356365672
163	0.2356129164
164	0.2355166076
165	0.235514337
166	0.2354331308
167	0.2353636944
168	0.2353037852
169	0.2352732005
170	0.2351829459
171	0.2351100852
172	0.2349968933
173	0.2349699706
174	0.2349144512
175	0.2348696048
176	0.2347790423
177	0.2346802961
178	0.2345990333
179	0.2345162244
180	0.234512843
181	0.2344658146
182	0.2344291202
183	0.2343802263
184	0.2342815044
185	0.2342618256
186	0.2341931705
187	0.2341235217
188	0.2340654887
189	0.2340489302
190	0.2339438557
191	0.2338618643
192	0.2338223265
193	0.2337646091
194	0.2337054273
195	0.23362902
196	0.2336105864
197	0.2336094758
198	0.2335393638
199	0.2334569681
200	0.233454138
201	0.2333809323
202	0.2333480024
203	0.2332906262
204	0.2332227639
205	0.2331907802
206	0.2330979734
207	0.2330609104
208	0.2330040754
209	0.2329114003
210	0.2328496686
211	0.2327256943
212	0.2327219739
213	0.2326802205
214	0.2325919403
215	0.2325084208
216	0.232369311
217	0.2323230644
218	0.2322727776
219	0.2322088718
220	0.2321484805
221	0.2320958522
222	0.2320411672
223	0.2319729636
224	0.2319537918
225	0.2319514711
226	0.2318993878
227	0.231836704
228	0.2317615434
229	0.2316754015
230	0.2315714503
231	0.2314909052
232	0.2314412219
233	0.2313720883
234	0.2313332035
235	0.2312338675
236	0.2311794965
237	0.231079495
238	0.2310738117
239	0.2310032653
240	0.2309402414
241	0.2308392516
242	0.2307751643
243	0.2307325359
244	0.2306757634
245	0.2306700413
246	0.2306036528
247	0.2305936803
248	0.2305306889
249	0.230450889
250	0.2303759937
251	0.2303204353
252	0.2303135894
253	0.2302081297
254	0.2301080021
255	0.2300337345
256	0.2299329268
257	0.2298711
258	0.2297872257
259	0.2297231985
260	0.229699697
261	0.2296162788
262	0.2295414337
263	0.2294648792
264	0.2294594065
265	0.2294060795
266	0.2293940571
267	0.2293206678
268	0.2292423961
269	0.2292299228
270	0.2291567932
271	0.2291294252
272	0.2290961301
273	0.229019064
274	0.2289314366
275	0.2288560769
276	0.2287443241
277	0.2286739709
278	0.228618916
279	0.228606235
280	0.2285529945
281	0.2284932218
282	0.2284140105
283	0.2283490322
284	0.2282882652
285	0.2282246113
286	0.2282198014
287	0.2282092801
288	0.2281464667
289	0.2281173902
290	0.2280273176
291	0.227963279
292	0.2279019943
293	0.2278972875
294	0.2278425884
295	0.2278084854
296	0.2277390142
297	0.2276853277
298	0.2276416173
299	0.2275911298
300	0.2275539531
301	0.2274662981
302	0.2273856611
303	0.2272939823
304	0.22723775
305	0.2271854421
306	0.2270962401
307	0.2270532799
308	0.2270039726
309	0.2269365077
310	0.2268701252
311	0.2268038853
312	0.2267398067
313	0.2267254079
314	0.2266696231
315	0.2266596649
316	0.2266095639
317	0.2265244813
318	0.2264737338
319	0.2264561499
320	0.2263890369
321	0.2263109903
322	0.2262628153
323	0.2262215662
324	0.2261436808
325	0.2260965428
326	0.2260535104
327	0.2259697859
328	0.2259323461
329	0.2258596448
330	0.225792623
331	0.2257621941
332	0.2257094017
333	0.225623521
334	0.2255829345
335	0.2254944495
336	0.2254663367
337	0.2254080803
338	0.2253306127
339	0.2252984213
340	0.2252217946
341	0.2251151438
342	0.2250434546
343	0.2249570385
344	0.2249158038
345	0.2248413925
346	0.2247612265
347	0.224701502
348	0.224616402
349	0.2245571886
350	0.2245301886
351	0.2244747343
352	0.224416643
353	0.2243458296
354	0.2243045372
355	0.224244035
356	0.2241985863
357	0.2241137191
358	0.2240308346
359	0.223943588
360	0.2239112908
361	0.2238642083
362	0.2238037442
363	0.2237352768
364	0.2236933908
365	0.223651886
366	0.2235949017
367	0.2235851737
368	0.2235498164
369	0.2235399909
370	0.2234692212
371	0.2234112041
372	0.2233166423
373	0.223258445
374	0.2231700916
375	0.2231104836
376	0.2230948829
377	0.2230298918
378	0.2229919828
379	0.2229373853
380	0.2228960927
381	0.2228275921
382	0.2227600412
383	0.2226872093
384	0.2226280542
385	0.2225713807
386	0.2225555337
387	0.2224692482
388	0.2224566127
389	0.2223938699
390	0.2223096374
391	0.2222322431
392	0.2221790984
393	0.2221613529
394	0.2221234515
395	0.2220619502
396	0.2219753821
397	0.2218813507
398	0.2218317956
