iter	Passed	Remaining
0	117	44674
1	199	37802
2	279	35265
3	381	35951
4	501	37695
5	676	42276
6	763	40774
7	855	39867
8	958	39638
9	1058	39259
10	1135	38203
11	1239	38122
12	1333	37755
13	1407	36899
14	1484	36214
15	1606	36642
16	1704	36497
17	1798	36259
18	1879	35811
19	1976	35679
20	2074	35570
21	2165	35331
22	2249	35013
23	2332	34695
24	2428	34585
25	2519	34398
26	2607	34188
27	2699	34034
28	2793	33902
29	2886	33772
30	2978	33628
31	3063	33409
32	3145	33167
33	3228	32948
34	3321	32835
35	3423	32809
36	3517	32700
37	3607	32562
38	3698	32429
39	3769	32131
40	3855	31971
41	3928	31705
42	4019	31592
43	4108	31470
44	4193	31312
45	4283	31194
46	4382	31142
47	4472	31028
48	4554	30858
49	4635	30688
50	4714	30504
51	4791	30314
52	4899	30323
53	4997	30259
54	5098	30221
55	5181	30072
56	5281	30021
57	5377	29947
58	5474	29879
59	5560	29751
60	5637	29576
61	5735	29511
62	5813	29344
63	5892	29184
64	5976	29054
65	6068	28965
66	6170	28920
67	6276	28892
68	6365	28781
69	6456	28686
70	6558	28636
71	6656	28567
72	6751	28486
73	6840	28377
74	6938	28310
75	7032	28223
76	7123	28125
77	7212	28016
78	7284	27847
79	7377	27757
80	7463	27642
81	7553	27543
82	7647	27456
83	7720	27295
84	7797	27153
85	7870	26997
86	7944	26846
87	8038	26764
88	8130	26676
89	8229	26609
90	8306	26472
91	8396	26376
92	8492	26299
93	8573	26176
94	8653	26051
95	8749	25975
96	8845	25899
97	8937	25809
98	9020	25694
99	9089	25541
100	9182	25455
101	9256	25319
102	9343	25219
103	9456	25188
104	9557	25123
105	9647	25028
106	9741	24945
107	9826	24838
108	9910	24729
109	10079	24833
110	10210	24835
111	10296	24730
112	10430	24738
113	10551	24713
114	10703	24757
115	10805	24685
116	10905	24606
117	10998	24512
118	11096	24430
119	11191	24342
120	11288	24255
121	11427	24259
122	11529	24183
123	11630	24105
124	11731	24026
125	11823	23928
126	11917	23834
127	11996	23712
128	12100	23638
129	12226	23607
130	12328	23527
131	12423	23435
132	12512	23330
133	12603	23232
134	12720	23179
135	12852	23153
136	12947	23058
137	13039	22960
138	13137	22872
139	13236	22785
140	13336	22699
141	13425	22596
142	13535	22528
143	13634	22440
144	13733	22352
145	13829	22260
146	13939	22190
147	14045	22112
148	14154	22039
149	14198	21865
150	14285	21758
151	14372	21652
152	14469	21561
153	14567	21473
154	14656	21369
155	14700	21202
156	14840	21173
157	14934	21078
158	15059	21026
159	15164	20946
160	15289	20892
161	15398	20816
162	15493	20721
163	15594	20634
164	15685	20534
165	15769	20423
166	15866	20331
167	15966	20242
168	16095	20190
169	16193	20099
170	16307	20026
171	16423	19956
172	16541	19888
173	16633	19788
174	16726	19690
175	16821	19593
176	16930	19512
177	17016	19406
178	17101	19299
179	17197	19204
180	17292	19108
181	17382	19006
182	17476	18908
183	17591	18834
184	17700	18753
185	17819	18681
186	17934	18606
187	18086	18567
188	18203	18492
189	18305	18402
190	18425	18329
191	18548	18258
192	18672	18188
193	18794	18116
194	18896	18024
195	18984	17919
196	19100	17839
197	19212	17756
198	19310	17660
199	19397	17554
200	19487	17451
201	19572	17344
202	19679	17255
203	19785	17166
204	19897	17082
205	19987	16979
206	20095	16892
207	20195	16797
208	20301	16707
