iter	Logloss
0	0.5873695386
1	0.5087263525
2	0.4490455134
3	0.4041773503
4	0.3704833639
5	0.345870112
6	0.3257375168
7	0.3101001057
8	0.2984011465
9	0.2897178241
10	0.2822046562
11	0.2766709641
12	0.2718036939
13	0.2682735697
14	0.265309964
15	0.2628972221
16	0.2607400779
17	0.2591748919
18	0.257742961
19	0.2564950058
20	0.255568805
21	0.2547934019
22	0.2540145647
23	0.2535029391
24	0.2529077766
25	0.2524134299
26	0.2520489779
27	0.2516992786
28	0.2514155001
29	0.2511388445
30	0.250801351
31	0.2505114674
32	0.2502672216
33	0.2500651054
34	0.2498485128
35	0.2496352425
36	0.2494712712
37	0.2492678487
38	0.2491014595
39	0.2489680881
40	0.248785736
41	0.2486262418
42	0.2485195895
43	0.2484234761
44	0.2483038879
45	0.2481923108
46	0.2480465378
47	0.2479211025
48	0.2478124181
49	0.247699131
50	0.2476232632
51	0.2474942234
52	0.2473908481
53	0.2473031386
54	0.2471874786
55	0.2470945966
56	0.2470161518
57	0.2469221597
58	0.2468438211
59	0.2467743269
60	0.2466955452
61	0.2466027262
62	0.2465376104
63	0.2464738723
64	0.2463977054
65	0.2463142126
66	0.2462318716
67	0.2461542759
68	0.2460785281
69	0.246008607
70	0.245954121
71	0.2458762315
72	0.2457972828
73	0.2457459388
74	0.2456995931
75	0.2456490063
76	0.2456138128
77	0.2455663585
78	0.2455279789
79	0.2454683506
80	0.2454301244
81	0.2453894954
82	0.2453255781
83	0.2452670662
84	0.2452204555
85	0.2451417585
86	0.2451146707
87	0.2450527554
88	0.2450095674
89	0.2449748367
90	0.2449511993
91	0.2448600202
92	0.244818782
93	0.244798517
94	0.2447429861
95	0.2446954565
96	0.2446261598
97	0.2445774165
98	0.2445239864
99	0.2444931069
100	0.2444549782
101	0.244419882
102	0.2443891258
103	0.244352993
104	0.2443136358
105	0.2442362391
106	0.2441934969
107	0.2441482981
108	0.2440894768
109	0.2440533545
110	0.2440038709
111	0.2439883711
112	0.2439534155
113	0.2439059708
114	0.2438575428
115	0.2438028876
116	0.2437728613
117	0.2437290164
118	0.2437117727
119	0.2436834584
120	0.2436414197
121	0.2436259257
122	0.2435899984
123	0.2435456113
124	0.2435063922
125	0.2434668141
126	0.2434416735
127	0.2434110154
128	0.24334681
129	0.2433206313
130	0.2432704051
131	0.2432590755
132	0.243209454
133	0.2431619304
134	0.2431307577
135	0.2430908541
136	0.2430519602
137	0.2430140631
138	0.2429824642
139	0.2429530394
140	0.2428933625
141	0.2428614328
142	0.2428316391
143	0.242803614
144	0.2427694689
145	0.2427254575
146	0.2426771418
147	0.2426406001
148	0.242614582
149	0.2425678316
150	0.2425607488
151	0.2425360256
152	0.2424973522
153	0.2424694364
154	0.2424305527
155	0.2424066677
156	0.2423843638
157	0.2423534562
158	0.2423182771
159	0.2422578929
160	0.2422202688
161	0.2421972227
162	0.2421477025
163	0.2421109841
164	0.2420610996
165	0.2420183037
166	0.2419998617
167	0.2419556552
168	0.2419083004
169	0.2418764754
170	0.2418671178
171	0.2418336008
172	0.2417973886
173	0.2417821753
174	0.2417351753
175	0.241713847
176	0.2416769309
177	0.2416529046
178	0.2416142845
179	0.2415846624
180	0.2415471571
181	0.2415122398
182	0.2414869335
183	0.2414518724
184	0.2414355774
185	0.2414045679
186	0.2413687258
187	0.2413290897
188	0.2412971683
189	0.2412323546
190	0.2411904841
191	0.2411589371
192	0.2411355016
193	0.2411138354
194	0.2410719463
195	0.2410437994
196	0.2410234603
197	0.241005709
198	0.2409855628
199	0.2409452245
200	0.2409150431
201	0.2408857059
202	0.2408703093
203	0.240862277
204	0.2408101213
205	0.2407793247
206	0.2407438448
207	0.2407152025
208	0.2406944706
209	0.2406614285
210	0.2406411885
211	0.2406078056
212	0.2405829356
213	0.2405412718
214	0.2405199047
215	0.2404826269
216	0.2404539251
217	0.2404506337
218	0.2404377299
219	0.2404156665
220	0.2403980812
221	0.2403707957
222	0.2403225532
223	0.2402737535
224	0.2402572876
225	0.2402200612
226	0.2401859185
227	0.2401770195
228	0.240153474
229	0.2401225595
230	0.2401093517
231	0.2400837307
232	0.240056348
233	0.2400144694
234	0.23996977
235	0.2399610629
236	0.239917826
237	0.2398642105
238	0.2398304605
239	0.2397774927
240	0.2397430633
241	0.2397177659
242	0.2396918695
243	0.2396415062
244	0.2395875297
245	0.2395602003
246	0.2395149127
247	0.239493732
248	0.2394544622
249	0.2394490072
250	0.239399294
251	0.2393900699
252	0.2393614043
253	0.2393385943
254	0.2393095089
255	0.2392834437
256	0.2392513334
257	0.2392301291
258	0.2392014694
259	0.2391635323
260	0.2391366726
261	0.239100858
262	0.2390697214
263	0.239067621
264	0.2390533735
265	0.2390285612
266	0.2389881626
267	0.2389544092
268	0.238926285
269	0.2389001819
270	0.23887402
271	0.2388410603
272	0.2388207783
273	0.2387814844
274	0.2387561974
275	0.2387463879
276	0.2387294982
277	0.2386999598
278	0.2386582279
279	0.2386409789
280	0.2386081565
281	0.2385714696
282	0.2385513019
283	0.2385211892
284	0.2384995253
285	0.2384861092
286	0.2384788221
287	0.238450554
288	0.2384320552
289	0.2384226759
290	0.2383833419
291	0.2383630611
292	0.2383528952
293	0.2383058187
294	0.2382783391
295	0.2382527736
296	0.2382501963
297	0.2382261532
298	0.2381861358
299	0.2381705038
300	0.2381379061
301	0.238116174
302	0.2381154045
303	0.2380850343
304	0.2380569492
305	0.2380223869
306	0.2379857484
307	0.2379599415
308	0.2379236285
309	0.2379068315
310	0.2378972932
311	0.2378673874
312	0.2378576691
313	0.2378093226
314	0.2377554092
315	0.2377405278
316	0.2377227594
317	0.2377025887
318	0.2376840339
319	0.2376560987
320	0.237627809
321	0.2375929225
322	0.2375622561
323	0.2375262684
324	0.237486528
325	0.2374454661
326	0.2374302517
327	0.2373935851
328	0.2373611999
329	0.2373144912
330	0.2372857234
331	0.2372441
332	0.2372174099
333	0.237187578
334	0.2371579423
335	0.2371467991
336	0.237110669
337	0.2370738889
338	0.2370406509
339	0.2369990316
340	0.2369621942
341	0.2369296081
342	0.2368992631
343	0.2368779407
344	0.2368445487
345	0.2368214922
346	0.236783535
347	0.2367477787
348	0.2367265842
349	0.2366881207
350	0.2366796705
351	0.2366465547
352	0.2366252503
353	0.2366071437
354	0.2365791085
355	0.2365467846
356	0.2365168912
357	0.2364813556
358	0.2364560314
359	0.2364350689
360	0.2364109826
361	0.2363791605
362	0.236354982
363	0.2363302202
364	0.2362966139
365	0.2362613838
366	0.2362307192
367	0.2362098097
368	0.236186141
369	0.2361713343
370	0.2361240281
371	0.2360800265
372	0.2360392842
373	0.23600857
374	0.2359782719
375	0.2359617398
376	0.2359459461
377	0.2359320116
378	0.2359044117
379	0.2358827641
380	0.2358607345
381	0.2358341669
382	0.2357972726
383	0.2357713667
384	0.2357452738
385	0.2357180584
386	0.2356986116
387	0.2356769713
388	0.2356591982
389	0.2356404293
390	0.2356101127
391	0.235596247
392	0.2355707605
393	0.2355230383
394	0.2354983938
395	0.235481498
396	0.2354456558
397	0.235418554
398	0.2353890228
399	0.2353521193
400	0.2353220495
401	0.235285628
402	0.235261749
403	0.2352466027
404	0.2352276364
405	0.2351999191
406	0.235193794
407	0.2351702465
408	0.2351484429
409	0.2351151663
410	0.2351007635
411	0.2350919287
412	0.2350750713
413	0.2350393931
414	0.2350387396
415	0.2350030338
416	0.2349801944
417	0.2349515441
418	0.2349170856
419	0.2348832603
420	0.2348535064
421	0.2348319867
422	0.2348174609
423	0.2347978497
424	0.2347663415
425	0.2347308782
