iter	Passed	Remaining
0	110	88050
1	246	98396
2	356	94762
3	486	96830
4	618	98410
5	730	96720
6	863	97849
7	995	98558
8	1145	100639
9	1288	101759
10	1534	110056
11	1662	109153
12	1779	107734
13	1904	106915
14	2081	108917
15	2205	108072
16	2348	108160
17	2464	107079
18	2606	107153
19	2725	106291
20	2860	106127
21	3008	106407
22	3136	105949
23	3243	104870
24	3376	104666
25	3500	104210
26	3630	103934
27	3740	103118
28	3849	102352
29	3975	102034
30	4104	101815
31	4240	101782
32	4367	101521
33	4507	101542
34	4650	101649
35	4751	100845
36	4873	100500
37	4998	100240
38	5120	99917
39	5238	99532
40	5372	99461
41	5511	99471
42	5643	99354
43	5762	99011
44	5905	99073
45	6039	98990
46	6151	98554
47	6276	98328
48	6417	98356
49	6537	98065
50	6675	98033
51	6801	97839
52	6939	97806
53	7064	97594
54	7198	97507
55	7323	97303
56	7449	97103
57	7590	97102
58	7727	97048
59	7855	96878
60	7992	96826
61	8115	96601
62	8233	96324
63	8375	96319
64	8505	96174
65	8626	95939
66	8768	95925
67	8894	95747
68	9031	95684
69	9146	95381
70	9276	95251
71	9404	95091
72	9520	94814
73	9632	94499
74	9774	94482
75	9904	94357
76	10034	94219
77	10141	93875
78	10274	93770
79	10401	93616
80	10516	93347
81	10639	93160
82	10798	93287
83	10957	93397
84	11107	93429
85	11238	93309
86	11397	93403
87	11544	93403
88	11675	93272
89	11808	93156
90	11938	93017
91	12082	92986
92	12206	92793
93	12346	92733
94	12497	92746
95	12650	92772
96	12789	92689
97	12970	92908
98	13096	92734
99	13238	92667
100	13387	92652
101	13515	92491
102	13652	92388
103	13791	92298
104	13936	92243
105	14056	92032
106	14178	91829
107	14310	91694
108	14448	91598
109	14577	91439
110	14713	91328
111	14856	91258
112	14993	91153
113	15122	91000
114	15260	90898
115	15419	90921
116	15596	91048
117	15720	90857
118	15837	90630
119	16001	90674
120	16165	90716
121	16301	90593
122	16428	90424
123	16551	90234
124	16684	90097
125	16826	90006
126	16948	89815
127	17075	89645
128	17210	89523
129	17476	90069
130	17613	89952
131	17740	89779
132	17909	89819
133	18041	89666
134	18153	89420
135	18303	89365
136	18484	89453
137	18642	89427
138	18787	89339
139	18931	89248
140	19084	89195
141	19287	89374
142	19463	89425
143	19651	89525
144	19856	89695
145	20031	89729
146	20177	89630
147	20370	89738
148	20528	89691
149	20706	89730
150	20895	89808
151	21050	89740
152	21175	89544
153	21338	89510
154	21491	89430
155	21630	89296
156	21755	89098
157	21911	89032
158	22067	88964
159	22204	88817
160	22354	88725
161	22480	88533
162	22625	88421
163	22763	88278
164	22906	88154
165	23042	88007
166	23167	87814
167	23273	87553
168	23420	87444
169	23535	87219
170	23672	87075
171	23875	87174
172	23995	86966
173	24117	86766
174	24248	86601
175	24387	86463
176	24493	86211
177	24639	86100
178	24777	85958
179	24914	85817
180	25049	85666
181	25175	85485
182	25292	85275
183	25428	85131
184	25559	84968
185	25717	84894
186	25850	84739
187	25996	84626
188	26134	84486
189	26263	84319
190	26391	84149
191	26532	84020
192	26658	83843
193	26794	83698
194	26913	83500
195	27068	83415
196	27200	83259
197	27343	83134
198	27476	82980
199	27617	82851
200	27752	82705
201	27884	82548
202	28004	82358
203	28138	82208
204	28269	82051
205	28407	81913
206	28537	81751
207	28664	81582
208	28795	81426
209	28944	81320
210	29082	81182
211	29216	81033
212	29324	80813
213	29441	80620
214	29583	80494
215	29723	80364
216	29859	80221
217	29998	80087
218	30144	79973
219	30281	79831
220	30390	79620
221	30503	79418
222	30624	79239
223	30752	79077
224	30871	78893
225	31009	78758
226	31157	78649
227	31278	78469
228	31414	78329
229	31546	78179
230	31672	78015
231	31796	77845
232	31931	77705
233	32069	77569
234	32192	77399
235	32336	77278
236	32488	77177
237	32646	77089
238	32772	76926
239	32975	76943
240	33089	76752
241	33238	76640
242	33366	76482
243	33506	76351
244	33633	76191
245	33766	76044
246	33901	75899
247	34026	75737
248	34170	75615
249	34317	75498
250	34450	75352
251	34620	75286
252	34772	75180
253	34907	75037
254	35043	74895
255	35172	74741
256	35299	74581
257	35442	74457
258	35597	74355
259	35714	74175
260	35840	74016
261	35997	73917
262	36204	73923
263	36343	73788
264	36473	73635
265	36598	73472
266	36738	73339
267	36855	73159
268	36966	72970
269	37105	72837
270	37230	72675
271	37372	72546
272	37540	72469
273	37703	72378
274	37850	72259
275	37983	72113
276	38092	71922
277	38206	71740
278	38353	71620
279	38474	71452
280	38608	71308
281	38731	71144
282	38850	70974
283	38976	70815
284	39121	70693
285	39253	70547
286	39383	70396
287	39518	70254
288	39637	70086
289	39749	69904
290	39872	69741
291	40010	69607
292	40161	69494
293	40288	69340
294	40426	69205
295	40555	69054
296	40738	68994
297	40864	68839
298	41013	68722
299	41127	68545
300	41264	68408
301	41412	68289
302	41537	68133
303	41682	68008
304	41814	67862
305	41943	67712
306	42077	67571
307	42220	67442
308	42365	67319
309	42519	67207
310	42741	67203
311	42879	67068
312	43004	66911
313	43133	66760
314	43263	66611
315	43418	66502
316	43553	66361
317	43698	66235
318	43857	66129
319	44000	66000
320	44138	65864
321	44273	65722
322	44403	65573
323	44543	65440
324	44682	65304
325	44795	65132
326	44919	64974
327	45058	64840
328	45198	64707
329	45335	64568
330	45479	64441
331	45615	64301
332	45738	64144
333	45878	64009
334	45997	63847
335	46126	63698
336	46253	63547
337	46386	63403
338	46506	63242
339	46644	63106
340	46770	62955
341	46889	62792
342	47034	62666
343	47168	62525
344	47303	62385
345	47453	62265
346	47583	62119
347	47718	61979
348	47881	61875
349	48020	61740
350	48156	61601
351	48276	61442
352	48399	61288
353	48531	61144
354	48646	60978
355	48796	60858
356	48946	60737
357	49094	60614
358	49227	60471
359	49356	60324
360	49502	60198
361	49642	60064
362	49769	59915
363	49912	59784
364	50043	59641
365	50171	59493
366	50287	59331
367	50437	59209
368	50574	59072
369	50714	58938
370	50864	58816
371	50999	58676
372	51110	58510
373	51226	58348
374	51352	58199
375	51506	58081
376	51697	58004
377	51841	57875
378	51947	57703
379	52081	57563
380	52213	57421
381	52328	57259
382	52477	57135
383	52619	57004
384	52742	56852
385	52890	56727
386	53045	56609
387	53184	56474
388	53340	56357
389	53522	56267
390	53671	56141
391	53807	56004
392	53958	55880
393	54068	55715
394	54203	55575
395	54335	55432
396	54454	55277
397	54595	55144
398	54735	55009
399	54857	54857
400	55001	54727
401	55144	54595
402	55287	54464
403	55411	54313
404	55566	54194
405	55696	54050
406	55819	53899
407	55938	53744
408	56083	53615
409	56209	53467
410	56350	53334
411	56498	53207
412	56639	53073
413	56780	52940
414	56902	52789
415	57047	52659
416	57193	52530
417	57342	52403
418	57509	52294
419	57648	52158
420	57784	52020
421	57930	51890
422	58079	51763
423	58237	51644
424	58382	51513
425	58532	51387
426	58694	51272
427	58853	51153
428	58984	51009
429	59112	50864
430	59248	50725
431	59388	50590
432	59525	50452
433	59645	50300
434	59802	50179
435	59938	50040
436	60077	49904
437	60213	49765
438	60337	49617
439	60466	49472
440	60620	49348
441	60742	49198
442	60876	49058
443	61026	48931
444	61180	48807
445	61317	48668
446	61453	48530
447	61581	48385
448	61738	48263
449	61931	48169
450	62073	48034
451	62210	47896
452	62336	47750
453	62468	47608
454	62616	47478
455	62752	47339
456	62874	47190
457	63011	47052
458	63139	46907
459	63312	46796
460	63439	46650
461	63587	46520
462	63766	46413
463	63891	46266
464	64040	46137
465	64173	45995
466	64320	45864
467	64462	45729
468	64603	45594
469	64736	45453
470	64892	45328
471	65030	45190
472	65176	45058
473	65299	44910
474	65448	44780
475	65603	44654
476	65755	44526
477	65888	44385
478	66043	44258
479	66156	44104
480	66293	43965
481	66430	43827
482	66579	43696
483	66717	43559
484	66903	43452
485	67045	43317
486	67183	43179
487	67327	43045
488	67500	42929
489	67642	42794
490	67825	42684
491	68010	42575
492	68159	42443
493	68316	42317
494	68522	42220
495	68654	42078
496	68827	41960
497	68969	41824
498	69097	41680
499	69227	41536
500	69388	41411
501	69523	41271
502	69668	41136
503	69791	40988
504	69936	40853
505	70098	40728
506	70234	40589
507	70389	40460
508	70552	40335
509	70682	40191
510	70889	40091
511	71039	39959
512	71172	39817
513	71308	39677
514	71444	39537
515	71575	39394
516	71695	39245
517	71859	39120
518	71999	38982
519	72140	38844
520	72304	38719
521	72430	38574
522	72587	38445
523	72712	38299
524	72851	38160
525	73004	38028
526	73154	37895
527	73312	37767
528	73471	37638
529	73623	37506
530	73791	37381
