iter	Logloss
0	0.5775137337
1	0.4970044052
2	0.438015349
3	0.3943338961
4	0.3613959165
5	0.3364688074
6	0.3173636054
7	0.3029763438
8	0.2922080099
9	0.2837619245
10	0.2771150689
11	0.2722560735
12	0.2679039126
13	0.2645869423
14	0.2620406622
15	0.2600407982
16	0.258382049
17	0.2569905986
18	0.255736525
19	0.2547324797
20	0.2540434291
21	0.2532969396
22	0.2527641262
23	0.252297058
24	0.2518599191
25	0.2514253129
26	0.2509143497
27	0.2506392762
28	0.2502317404
29	0.2498487295
30	0.2496275157
31	0.2493427659
32	0.2490889991
33	0.2488741506
34	0.2486759544
35	0.2484719303
36	0.2482353549
37	0.248056263
38	0.2478919357
39	0.2477672816
40	0.2475915972
41	0.2474573292
42	0.2472941514
43	0.247181874
44	0.2470510139
45	0.2469324801
46	0.246798656
47	0.2466246712
48	0.246454144
49	0.2463563641
50	0.2462091516
51	0.2460815411
52	0.2459707592
53	0.2458469002
54	0.2457243778
55	0.2456081985
56	0.2454966107
57	0.2453743181
58	0.2452832094
59	0.2452724244
60	0.2451844465
61	0.2451243802
62	0.2450415526
63	0.2449383616
64	0.2448097408
65	0.2447515869
66	0.2446701712
67	0.2445648277
68	0.2445005283
69	0.24443262
70	0.2443664082
71	0.244286352
72	0.2441936715
73	0.2441060159
74	0.2440403324
75	0.2439200146
76	0.2438520578
77	0.243787948
78	0.2436932158
79	0.2436416302
80	0.2436412373
81	0.2436364095
82	0.2435781251
83	0.2435035564
84	0.243426953
85	0.24335782
86	0.2432853658
87	0.2432334978
88	0.2431597228
89	0.2430838965
90	0.2429673885
91	0.2429252779
92	0.2429137963
93	0.2428518973
94	0.242762652
95	0.2427503856
96	0.2426834006
97	0.24261821
98	0.2425597573
99	0.2424974184
100	0.242411827
101	0.2423248456
102	0.24221963
103	0.2421356367
104	0.2420766823
105	0.2420101625
106	0.241945883
107	0.2418977057
108	0.2418112812
109	0.2417512922
110	0.2416734674
111	0.2415859249
112	0.2414858451
113	0.2414192693
114	0.2413721035
115	0.2413714434
116	0.2412211806
117	0.2411201368
118	0.2410543846
119	0.240947122
120	0.2409443662
121	0.2408561603
122	0.2407786642
123	0.2407178354
124	0.240682298
125	0.240577768
126	0.2405376708
127	0.2405193568
128	0.2404424646
129	0.2404354558
130	0.2403699087
131	0.2403137826
132	0.2402718863
133	0.2401997513
134	0.240116473
135	0.2400261795
136	0.2399629137
137	0.2399023989
138	0.2398758422
139	0.2398743209
140	0.239792615
141	0.2397905282
142	0.239729479
143	0.2396634983
144	0.2395525331
145	0.2394976597
146	0.2394952475
147	0.2394344975
148	0.239423533
149	0.2394021531
150	0.2393072837
151	0.2392593705
152	0.2392552254
153	0.2391882147
154	0.2391215337
155	0.2390119665
156	0.2389417118
157	0.2388671841
158	0.2387932522
159	0.2387129972
160	0.2386689826
161	0.2386380842
162	0.2385751053
163	0.23851781
164	0.2385077475
165	0.2384215912
166	0.2383524073
167	0.2383157992
168	0.2382435498
169	0.2381871005
170	0.2381373861
171	0.2380519486
172	0.2379830267
173	0.2379498616
174	0.2378717006
175	0.2378028812
176	0.2377486196
177	0.237673143
178	0.2375989975
179	0.2375127952
180	0.2374311115
181	0.2374188474
182	0.2373734593
183	0.2373244309
184	0.2372582453
185	0.2372060418
186	0.2371507818
187	0.2371323922
188	0.2370790989
189	0.2370433244
190	0.2369756089
191	0.236901175
192	0.2368800254
193	0.2368200756
194	0.236746345
195	0.2366850855
196	0.2366346725
197	0.2365764802
198	0.2365005349
199	0.2364169379
200	0.2364161421
201	0.236348864
202	0.2362942631
203	0.2362458647
204	0.2361221196
205	0.2360857352
206	0.2360184537
207	0.2359174924
208	0.2358701981
209	0.2358617712
210	0.2357997569
211	0.2357157287
212	0.2356813859
213	0.2355931992
214	0.2355294091
215	0.2355284834
216	0.2355260741
217	0.2355181405
218	0.2355160809
219	0.2354576519
220	0.2353846041
221	0.2352995935
222	0.2352367991
223	0.2351897309
224	0.2351207127
225	0.2350882957
226	0.234996991
227	0.2349449277
228	0.2348725172
229	0.2348255319
230	0.2347381361
231	0.2346740778
232	0.2346730111
233	0.2346294704
234	0.2345316735
235	0.2344656672
236	0.2344511962
237	0.2343899062
238	0.2343001651
239	0.2342283414
240	0.2341725779
241	0.2341206782
242	0.2340808287
243	0.2340029503
244	0.2339469118
245	0.2338916548
246	0.2338198897
247	0.2337617977
248	0.2337024642
249	0.2336760161
250	0.2336378497
251	0.2335543342
252	0.2335489477
253	0.233498015
254	0.2334192619
255	0.2333776521
256	0.2333293361
257	0.2332698809
258	0.2331794941
259	0.2330994492
260	0.2330093725
261	0.2329477256
262	0.2329254254
263	0.2328685993
264	0.2328268761
265	0.2327783379
266	0.2327584121
267	0.232756961
268	0.2326979945
269	0.2326755198
270	0.2326565898
271	0.2325968095
272	0.2325285888
273	0.2324528348
274	0.2323623063
275	0.2323140966
276	0.23228316
277	0.2322266275
278	0.2321668953
279	0.232140064
280	0.2321355755
281	0.2320728377
282	0.2320658213
283	0.2320162808
284	0.2319669461
285	0.2319487162
286	0.2318835769
287	0.2318074756
288	0.2317599621
289	0.2316987384
290	0.2316303927
291	0.2315922301
292	0.2315653921
293	0.2315152195
294	0.2314624949
295	0.2314149601
296	0.2313820316
297	0.2312989721
298	0.2312132102
299	0.2311299439
300	0.2310810962
301	0.2310648195
302	0.2310266086
303	0.2309851604
304	0.2309078707
305	0.2308583448
306	0.2307832732
307	0.2307637292
308	0.2306848734
309	0.2306260219
310	0.230572401
311	0.2305202421
312	0.2305191985
313	0.2304908449
314	0.2304323327
315	0.2303557921
316	0.2302906405
317	0.2302578452
318	0.2302136884
319	0.2301404375
320	0.2301357793
321	0.2301179472
322	0.2300557864
323	0.2300049764
324	0.229958439
325	0.2298910137
326	0.2298520582
327	0.2298431111
328	0.2297614183
329	0.2297093232
330	0.229645467
331	0.229621465
332	0.229582556
333	0.2295174431
334	0.229436199
335	0.2293604443
336	0.2293184728
337	0.2292635601
338	0.2291944069
339	0.2291449971
340	0.2290796227
341	0.2290277759
342	0.2290212128
343	0.2289735598
344	0.2289452311
345	0.2288944355
346	0.228806847
347	0.2287449137
348	0.2287071661
349	0.2286688051
350	0.2286282446
