iter	Passed	Remaining
0	119	41689
1	235	41169
2	352	40911
3	541	46965
4	657	45530
5	788	45325
6	855	42048
7	967	41486
8	1142	43419
9	1295	44168
10	1425	44070
11	1542	43569
12	1666	43328
13	1798	43283
14	1902	42610
15	2013	42167
16	2175	42735
17	2321	42950
18	2468	43139
19	2590	42872
20	2732	42942
21	2901	43392
22	3011	42947
23	3123	42561
24	3267	42611
25	3401	42515
26	3518	42219
27	3645	42052
28	3781	41985
29	3913	41870
30	4040	41706
31	4171	41585
32	4299	41429
33	4442	41418
34	4584	41395
35	4713	41246
36	4847	41140
37	4965	40900
38	5066	40532
39	5193	40379
40	5310	40155
41	5445	40062
42	5557	39808
43	5688	39691
44	5823	39597
45	5952	39470
46	6092	39408
47	6221	39270
48	6326	38991
49	6468	38941
50	6598	38813
51	6734	38724
52	6839	38454
53	6973	38355
54	7102	38222
55	7228	38080
56	7366	37997
57	7496	37869
58	7623	37731
59	7752	37598
60	7875	37441
61	8017	37373
62	8137	37201
63	8243	36966
64	8347	36731
65	8462	36544
66	8561	36291
67	8709	36248
68	8834	36105
69	8964	35987
70	9102	35896
71	9234	35782
72	9362	35654
73	9495	35542
74	9637	35465
75	9774	35367
76	9899	35228
77	10037	35129
78	10167	35006
79	10314	34939
80	10406	34687
81	10538	34570
82	10674	34467
83	10822	34401
84	10960	34299
85	11090	34174
86	11226	34067
87	11342	33897
88	11481	33798
89	11609	33667
90	11736	33533
91	11862	33394
92	11973	33216
93	12095	33070
94	12231	32961
95	12369	32857
96	12479	32678
97	12612	32560
98	12739	32426
99	12869	32301
100	12979	32127
101	13105	31992
102	13232	31860
103	13359	31728
104	13500	31630
105	13623	31487
106	13757	31371
107	13886	31245
108	14018	31124
109	14149	31000
110	14258	30829
111	14369	30663
112	14469	30476
113	14593	30339
114	14710	30187
115	14772	29927
116	14886	29773
117	15001	29621
118	15128	29493
119	15235	29329
120	15354	29186
121	15461	29022
122	15590	28899
123	15724	28785
124	15834	28628
125	15947	28477
126	16063	28332
127	16186	28199
128	16324	28092
129	16437	27943
130	16575	27836
131	16717	27736
132	16859	27633
133	16991	27516
134	17133	27414
135	17245	27263
136	17378	27145
137	17489	26994
138	17626	26883
139	17746	26747
140	17884	26636
141	18001	26495
142	18105	26335
143	18247	26230
144	18379	26111
145	18513	25994
146	18638	25866
147	18767	25742
148	18900	25622
149	19024	25493
150	19153	25369
151	19290	25255
152	19416	25126
153	19548	25007
154	19683	24890
155	19790	24738
156	19901	24591
157	20013	24447
158	20138	24318
159	20258	24183
160	20390	24063
161	20508	23926
162	20621	23783
163	20733	23641
164	20849	23502
165	20957	23355
166	21083	23230
167	21222	23117
168	21344	22986
169	21479	22869
170	21616	22754
171	21740	22624
172	21879	22511
173	22018	22398
174	22138	22264
175	22267	22140
176	22378	21999
177	22486	21855
178	22612	21727
179	22755	21618
180	22900	21508
181	23026	21381
182	23168	21269
183	23308	21154
184	23500	21087
185	23636	20968
186	23790	20864
187	23913	20733
188	24042	20607
189	24187	20495
190	24348	20396
191	24512	20299
192	24640	20171
193	24790	20062
194	24937	19949
195	25091	19842
196	25239	19730
197	25385	19615
198	25536	19505
199	25678	19387
200	25806	19258
201	25953	19143
202	26114	19038
203	26240	18908
204	26393	18797
205	26533	18676
206	26672	18554
207	26781	18412
208	26933	18299
209	27058	18168
210	27211	18054
211	27359	17938
212	27498	17815
213	27675	17717
214	27792	17580
215	27930	17456
216	28052	17323
217	28162	17181
218	28284	17048
219	28427	16927
220	28544	16790
221	28681	16666
222	28825	16545
223	28939	16407
224	29071	16279
225	29211	16156
226	29355	16035
227	29502	15915
228	29648	15795
229	29805	15680
230	29938	15552
231	30071	15424
232	30206	15297
233	30326	15163
234	30438	15024
235	30547	14885
236	30677	14756
237	30823	14634
238	30966	14511
239	31102	14384
240	31214	14247
241	31348	14119
242	31468	13986
243	31603	13858
244	31755	13739
245	31904	13617
246	32018	13481
247	32154	13354
248	32298	13230
249	32432	13102
250	32583	12981
251	32711	12850
252	32838	12720
253	32971	12591
254	33102	12461
255	33231	12332
256	33361	12202
257	33502	12076
258	33605	11937
259	33746	11811
260	33864	11677
261	34003	11550
262	34140	11423
263	34274	11295
264	34395	11162
265	34522	11031
266	34647	10900
267	34782	10772
268	34896	10637
269	35031	10509
270	35156	10378
271	35341	10264
272	35480	10137
273	35657	10020
274	35786	9890
275	35889	9752
276	36021	9623
277	36152	9493
278	36299	9367
279	36434	9238
280	36556	9106
281	36720	8984
282	36861	8857
283	37026	8735
284	37177	8609
