iter	Logloss
0	0.5563089071
1	0.4632745479
2	0.4017288172
3	0.3573284731
4	0.3290573495
5	0.3088050098
6	0.2939196388
7	0.28197615
8	0.2743217108
9	0.2687725744
10	0.264582506
11	0.2613957269
12	0.2590688326
13	0.2571891836
14	0.2554474958
15	0.2541925223
16	0.2533914089
17	0.2525228618
18	0.2520058072
19	0.2512955943
20	0.250846142
21	0.2504661215
22	0.2500701557
23	0.249654752
24	0.2493356362
25	0.2489669946
26	0.2487227658
27	0.2484479281
28	0.2482377468
29	0.2480047966
30	0.247733764
31	0.2475152667
32	0.2473438111
33	0.2471915533
34	0.246991815
35	0.2468040539
36	0.2466400405
37	0.2464222338
38	0.2462791092
39	0.2461373154
40	0.2460208777
41	0.2459274964
42	0.2456886788
43	0.2455483714
44	0.2453977609
45	0.2452981474
46	0.2451015604
47	0.2450343742
48	0.2449742284
49	0.2448291355
50	0.2447229918
51	0.2445983402
52	0.2445593227
53	0.2444847349
54	0.2444726181
55	0.2443734284
56	0.2442215221
57	0.2441300518
58	0.2440043955
59	0.2439028926
60	0.243884807
61	0.2437752864
62	0.2436812998
63	0.2435924024
64	0.2434932631
65	0.24338195
66	0.2432464196
67	0.243222442
68	0.2431069078
69	0.2430344149
70	0.2430233035
71	0.2429120111
72	0.2427700956
73	0.2426850857
74	0.2426756989
75	0.2425899631
76	0.2424935609
77	0.2424203477
78	0.2422745483
79	0.2421672366
80	0.2420551943
81	0.241933073
82	0.2418451083
83	0.2417705846
84	0.2416700726
85	0.2415939843
86	0.2415441429
87	0.2414625605
88	0.2413598229
89	0.241242017
90	0.2411740716
91	0.24111314
92	0.2410708909
93	0.2409527656
94	0.2409444547
95	0.2408548971
96	0.240713455
97	0.2406863466
98	0.2405921956
99	0.2404615867
100	0.2403983241
101	0.2403642186
102	0.2402530827
103	0.2401440936
104	0.2400628562
105	0.2399824141
106	0.2398961956
107	0.2398136705
108	0.2397744337
109	0.2397053009
110	0.2396065979
111	0.239555098
112	0.2394575771
113	0.2394502852
114	0.2394199779
115	0.2393502476
116	0.2393152932
117	0.239195415
118	0.2391234371
119	0.2390242591
120	0.2389474525
121	0.2388610904
122	0.2387728416
123	0.2386562061
124	0.2385108552
125	0.2384292887
126	0.2384270418
127	0.2383319972
128	0.2382344106
129	0.2381594474
130	0.2381149459
131	0.238014648
132	0.2380112927
133	0.237926497
134	0.2378910987
135	0.2378086192
136	0.2377055475
137	0.2376974647
138	0.2376693434
139	0.2376109325
140	0.2375298638
141	0.237477738
142	0.2373646649
143	0.2373341913
144	0.2372215984
145	0.2370934569
146	0.2369845485
147	0.2369147063
148	0.2367960701
149	0.2367204801
150	0.2366024818
151	0.2365315663
152	0.2364592305
153	0.2364534966
154	0.2363876742
155	0.236327541
156	0.2362432325
157	0.2362155682
158	0.2361163486
159	0.2360683129
160	0.235993888
161	0.2359321018
162	0.2358291764
163	0.2357947116
164	0.2357332615
165	0.2356723986
166	0.2355469782
167	0.2354967777
168	0.235421006
169	0.2353869702
170	0.2352747718
171	0.2352169187
172	0.2351569871
173	0.2351035883
174	0.2350305443
175	0.2350073829
176	0.2349846831
177	0.2349316822
178	0.2348578222
179	0.2347873758
180	0.2347806656
181	0.2346825072
182	0.2346572846
183	0.2345629329
184	0.2344946352
185	0.2344136449
186	0.2343597433
187	0.2342890243
188	0.2342298839
189	0.2341482587
190	0.2340531485
191	0.2339752642
192	0.233917982
193	0.2338662136
194	0.2337983573
195	0.2337337633
196	0.2336655739
197	0.2335589349
198	0.23345593
199	0.2333844236
200	0.2333241781
201	0.2332934006
202	0.2332292314
203	0.2332280924
204	0.2331402959
205	0.2331330654
206	0.2330565192
207	0.2329983999
208	0.2329278999
209	0.2329055249
210	0.2328792423
211	0.2328348174
212	0.2327681968
213	0.2326703219
214	0.2325854827
215	0.2325507146
216	0.232490393
217	0.2324087931
218	0.2323479647
219	0.2323461983
220	0.232261195
221	0.2322146721
222	0.2321389279
223	0.2321069141
224	0.2320491827
225	0.2319807776
226	0.2319143518
227	0.2318685847
228	0.2318057711
229	0.2317402424
230	0.2316455699
231	0.2315608865
232	0.2315097607
233	0.2314352804
234	0.2313320642
235	0.2312248797
236	0.2311209832
237	0.2311180543
238	0.2310614102
239	0.2310255669
240	0.230953145
241	0.2309385262
242	0.2309215868
243	0.230846282
244	0.2308062095
245	0.2307226948
246	0.2306344614
247	0.2305535374
248	0.2304745995
249	0.2303938564
250	0.2303052731
251	0.2302346058
252	0.2301723147
253	0.2300628137
254	0.2300433583
255	0.2299839414
256	0.2299153885
257	0.2298763061
258	0.2297977356
259	0.2297298567
260	0.2296508481
261	0.2295874561
262	0.2295270813
263	0.2294761321
264	0.2294500012
265	0.2293658564
266	0.2293047754
267	0.2292296361
268	0.2292251157
269	0.2291750318
270	0.2291145982
271	0.2290676406
272	0.22898988
273	0.2289500128
274	0.2288719049
275	0.2287809125
276	0.2287434382
277	0.2286808896
278	0.2286415285
279	0.2285910616
280	0.2284949541
281	0.2284395555
282	0.2283884403
283	0.2283507591
284	0.2282738777
285	0.2282369119
286	0.2281812221
287	0.2281151784
288	0.2280377951
289	0.2279642884
290	0.2278823454
291	0.2278282804
292	0.2277609049
293	0.2277179302
294	0.2276766726
295	0.227583465
296	0.2275204797
297	0.2274635938
298	0.2273849541
299	0.2273690586
300	0.2273034174
301	0.2272490817
302	0.2271992409
303	0.2270829138
304	0.2270286688
305	0.2269481098
